,count,unique,top,freq,mean,std,min,25%,50%,75%,max
Title,94,93,Quality Control Manager,2,,,,,,,
Description,94,94,"Position is for a part time packaging engineer, average 20 hours per week.
Engineers in and around MN will be preferred. Open to remote candidates also.
JOB SUMMARY:
The Packaging Engineer will be a part of a fully integrated cross-functional team, working closely with R&D, Sourcing, Quality, Engineering, Marketing and Operations. The team is responsible for identifying top opportunities for productivity improvement and innovation, and advancing those priorities. The role is very focused on successfully delivering against key development projects, generating a pipeline of new ideas and supporting key system needs at our production facilities while maintaining high quality standards for our materials
MINIMUM QUALIFICATIONS:
• Bachelor’s degree in Packaging or related field• 3-10 years of Package Engineering experience• Solid understanding of product commercialization process from packaging design to manufacturing• Demonstrated knowledge in packaging fundamentals and application to consumer packaged goods• Material knowledge and experience with flexible films & laminates, paperboard cartons and corrugated• Experience creating or interpreting packaging specifications and drawings to meet manufacturing and quality needs• Experience with working on team projects at corporate and plant level, and with engineering firms, vendors and contractors• Good interpersonal and communication skills required to effectively manage projects with business teams• Self-directed, motivated and good time management• Manage multiple projects simultaneously and adapt to changing priorities• Proficient in Microsoft Office Products, Office 365, SharePoint, and experience with TOPS
KEY ACCOUNTABILITIES:
• Develop, coordinate, and conduct packaging trials to validate and advance technical packaging and total product opportunities• Assist in problem solving activities with manufacturing challenges related to packaging materials and systems• Provide effective communication and documentation of work including technical plans, specification creation/modification, experimental reports, financial analysis, and management updates• Proactively lead collaboration with cross-functional partners to develop margin improvement and technical innovation opportunities• Effectively partner with supplier resources against key initiatives, showing a bias for results• Develop and execute an understanding of the packaging ready to launch responsibilities and systems including internal specifications, graphic management process, product planning, and pallet patterns.• Build internal and external networks, relationships and understanding of internal and external customer needs to effectively influence and gain support for initiatives.• Build and leverage technical depth of technical material knowledge to drive innovation and margin improvements.• Collaborate and influence both internally and externally.
PREFERRED QUALIFICATIONS:
• Experience in the manufacturing industry, food industry, or related field.• Experience in Interspec or a similar Product Lifecycle Management system.",1,,,,,,,
Primary Description,94,78,CSG Talent · United States (Remote),6,,,,,,,
Detail URL,94,94,https://www.linkedin.com/jobs/view/4096390870,1,,,,,,,
Location,94,14,United States,63,,,,,,,
Skill,0.0,,,,,,,,,,
Insight,0.0,,,,,,,,,,
Job State,94,1,LISTED,94,,,,,,,
Poster Id,94.0,,,,316368012.60638297,314927817.3190315,1566690.0,25980929.25,175437555.0,507402091.5,1094276959.0
Company Name,92,75,CSG Talent,6,,,,,,,
Company Description,89,74,"CSG are the Global Talent Experts.

CSG are Global Talent Experts operating from eight international offices across 28 niche industries within Renewable Energy, Mining Minerals and Metals, Industrial Engineering, Consumer, Infrastructure and Construction, Health Sciences, Professional Services, Natural Resources and Technology.
We take a pro-active approach to executive search and headhunting, placing senior-level executives and C-Suite candidates in over 60 countries worldwide. Our unparalleled recruitment success comes down to our team of highly knowledgeable, specialist consultants and vast global networks, combined with our dedication to building long-term relationships with both clients and candidates.

CSG’s vision is to be the first and continuous choice when managing both our clients’ global talent needs and our candidates’ long-term careers. From our proactive executive searches to our Talent Strategy Services, we see ourselves as your talent partners, and that ethos is reflected in everything we do.

Whether you are a senior level candidate looking for a step up in your career or an organisation needing help in sourcing the highest-calibre talent, don’t hesitate to get in touch. With our unparalleled global network, we can find the right fit for you.",6,,,,,,,
Company Website,88,73,https://www.csgtalent.com/,6,,,,,,,
Company Logo,90,74,https://media.licdn.com/dms/image/v2/D4E0BAQEmX_CmOyRRMw/company-logo_400_400/company-logo_400_400/0/1712744874460/csg_talent_logo?e=1742428800&v=beta&t=khQ_qNv4y2pRe1vkY9arSuEvIQZgVTzsF3_ZuTJeDEo,6,,,,,,,
Company Apply Url,89,88,https://hasslefreeglobal.com/apply/index,2,,,,,,,
Industry,91,31,Staffing & Recruiting,24,,,,,,,
Employee Count,89.0,,,,14958.41573033708,51759.66102526371,5.0,141.0,777.0,4073.0,225230.0
Headquarters,90,61,Sofia,6,,,,,,,
Company Founded,65.0,,,,1980.076923076923,47.53922975169681,1847.0,1972.0,1997.0,2013.0,2024.0
Specialties,73,59,"Retained Campaigns,Headhunting & Networking,Recruitment,Medical,Consumer,Energy,National and International Executive Search,Mining,Recruitment,Renewable Energy,Construction,Infrastructure,Consumer Goods,Battery Metals,Life Sciences",6,,,,,,,
Hiring Manager Title,94,80,Vera Ciminillo  ,5,,,,,,,
Hiring Manager Subtitle,94,80,Senior Talent Acquisition Partner | Data Enthusiast | Consultative Partner | Visual Storyteller,5,,,,,,,
Hiring Manager Title Insight,94,2,2nd,62,,,,,,,
Hiring Manager Profile,94,80,https://www.linkedin.com/in/vera-ciminillo-53577a,5,,,,,,,
Hiring Manager Image,89,76,https://media.licdn.com/dms/image/v2/D4E03AQFrsu8b3XKfCw/profile-displayphoto-shrink_undefined,5,,,,,,,
Created At,94,92,2024-11-08T12:48:18.000Z,2,,,,,,,
Scraped At,94,94,2024-12-18T16:27:43.166Z,1,,,,,,,
